crime_type,neighbourhood,year,month,count
Theft from Vehicle,West End,2003,10,166
Theft from Vehicle,West End,2003,12,146
Theft from Vehicle,West End,2003,2,144
Theft from Vehicle,West End,2003,9,133
Theft from Vehicle,West End,2003,11,116
Theft from Vehicle,West End,2004,4,206
Theft from Vehicle,West End,2004,6,205
Theft from Vehicle,West End,2004,9,192
Theft from Vehicle,West End,2004,5,189
Theft from Vehicle,West End,2004,8,184
Theft from Vehicle,West End,2004,7,174
Theft from Vehicle,West End,2004,12,165
Theft from Vehicle,West End,2004,1,162
Theft from Vehicle,West End,2004,10,151
Theft from Vehicle,West End,2004,3,143
Theft from Vehicle,West End,2004,11,130
Theft from Vehicle,West End,2004,2,109
Theft from Vehicle,West End,2018,12,206
Theft from Vehicle,West End,2018,11,150
Theft from Vehicle,West End,2018,10,146
Theft from Vehicle,West End,2018,9,139
Theft from Vehicle,West End,2018,1,137
Theft from Vehicle,West End,2018,3,118
Theft from Vehicle,West End,2018,8,113
Theft from Vehicle,West End,2018,4,106
Theft from Vehicle,West End,2018,7,99
Theft from Vehicle,West End,2018,5,89
Theft from Vehicle,West End,2018,6,81
Theft from Vehicle,West End,2018,2,77
Theft from Vehicle,West End,2019,1,201
Theft from Vehicle,West End,2019,10,158
Theft from Vehicle,West End,2019,9,157
Theft from Vehicle,West End,2019,7,142
Theft from Vehicle,West End,2019,8,139
Theft from Vehicle,West End,2019,5,136
Theft from Vehicle,West End,2019,2,133
Theft from Vehicle,West End,2019,11,126
Theft from Vehicle,West End,2019,12,112
Theft from Vehicle,West End,2019,3,111
Theft from Vehicle,West End,2019,4,108
Theft from Vehicle,West End,2019,6,90
Theft from Vehicle,West End,2005,5,174
Theft from Vehicle,West End,2005,12,134
Theft from Vehicle,West End,2005,6,131
Theft from Vehicle,West End,2005,1,129
Theft from Vehicle,West End,2005,8,128
Theft from Vehicle,West End,2005,2,119
Theft from Vehicle,West End,2005,3,119
Theft from Vehicle,West End,2005,7,114
Theft from Vehicle,West End,2005,4,113
Theft from Vehicle,West End,2005,10,112
Theft from Vehicle,West End,2005,9,104
Theft from Vehicle,West End,2005,11,73
Theft from Vehicle,West End,2006,1,159
Theft from Vehicle,West End,2006,12,158
Theft from Vehicle,West End,2006,6,156
Theft from Vehicle,West End,2006,7,151
Theft from Vehicle,West End,2006,9,137
Theft from Vehicle,West End,2006,5,125
Theft from Vehicle,West End,2006,2,119
Theft from Vehicle,West End,2006,8,114
Theft from Vehicle,West End,2006,11,109
Theft from Vehicle,West End,2006,4,99
Theft from Vehicle,West End,2006,3,99
Theft from Vehicle,West End,2006,10,98
Theft from Vehicle,West End,2007,1,156
Theft from Vehicle,West End,2007,3,151
Theft from Vehicle,West End,2007,5,145
Theft from Vehicle,West End,2007,4,129
Theft from Vehicle,West End,2007,8,110
Theft from Vehicle,West End,2007,7,108
Theft from Vehicle,West End,2007,10,108
Theft from Vehicle,West End,2007,6,105
Theft from Vehicle,West End,2007,11,96
Theft from Vehicle,West End,2007,9,95
Theft from Vehicle,West End,2007,2,94
Theft from Vehicle,West End,2007,12,78
Theft from Vehicle,West End,2008,3,145
Theft from Vehicle,West End,2008,4,133
Theft from Vehicle,West End,2008,11,127
Theft from Vehicle,West End,2008,12,127
Theft from Vehicle,West End,2008,5,124
Theft from Vehicle,West End,2008,2,124
Theft from Vehicle,West End,2008,8,119
Theft from Vehicle,West End,2008,10,111
Theft from Vehicle,West End,2008,6,109
Theft from Vehicle,West End,2008,1,99
Theft from Vehicle,West End,2008,7,96
Theft from Vehicle,West End,2008,9,94
Theft from Vehicle,West End,2020,1,129
Theft from Vehicle,West End,2020,2,103
Theft from Vehicle,West End,2020,3,97
Theft from Vehicle,West End,2020,10,82
Theft from Vehicle,West End,2020,4,72
Theft from Vehicle,West End,2020,9,69
Theft from Vehicle,West End,2020,7,69
Theft from Vehicle,West End,2020,12,60
Theft from Vehicle,West End,2020,11,55
Theft from Vehicle,West End,2020,8,54
Theft from Vehicle,West End,2020,6,52
